"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1928","User login with wrong email or password","LMS system","Wed Nov 12 13:49:43 UTC 2025","passed","Wed Nov 12 13:49:45 UTC 2025","Authorisation","Authentication","",""
"","0","test_logout","tests.pytest","Wed Nov 12 13:50:00 UTC 2025","passed","Wed Nov 12 13:50:00 UTC 2025","TestUserAuthentication","test_markers","",""
"","2452","Create course","LMS system","Wed Nov 12 13:49:57 UTC 2025","passed","Wed Nov 12 13:50:00 UTC 2025","Courses","Courses","",""
"","1442","User login with wrong email or password","LMS system","Wed Nov 12 13:49:45 UTC 2025","passed","Wed Nov 12 13:49:46 UTC 2025","Authorisation","Authentication","",""
"","3040","Edit course","LMS system","Wed Nov 12 13:49:55 UTC 2025","passed","Wed Nov 12 13:49:59 UTC 2025","Courses","Courses","",""
"","1340","Check displaying of empty courses list","LMS system","Wed Nov 12 13:49:55 UTC 2025","passed","Wed Nov 12 13:49:57 UTC 2025","Courses","Courses","",""
"","1658","Registration with correct email, username and password","LMS system","Wed Nov 12 13:49:49 UTC 2025","passed","Wed Nov 12 13:49:50 UTC 2025","Registration","Authentication","",""
"","1718","Check displaying of dashboard page","LMS system","Wed Nov 12 13:49:59 UTC 2025","passed","Wed Nov 12 13:50:01 UTC 2025","Dashboard","Dashboard","",""
"","0","test_login","tests.pytest","Wed Nov 12 13:50:01 UTC 2025","passed","Wed Nov 12 13:50:01 UTC 2025","TestUserAuthentication","test_markers","",""
"","1969","User login with wrong email or password","LMS system","Wed Nov 12 13:49:43 UTC 2025","passed","Wed Nov 12 13:49:45 UTC 2025","Authorisation","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Wed Nov 12 13:50:00 UTC 2025","passed","Wed Nov 12 13:50:00 UTC 2025","TestUserInterface","test_markers","",""
"","3021","User login with correct email and password","LMS system","Wed Nov 12 13:49:45 UTC 2025","passed","Wed Nov 12 13:49:48 UTC 2025","Authorisation","Authentication","",""
"","0","test_password_reset","tests.pytest","Wed Nov 12 13:50:00 UTC 2025","passed","Wed Nov 12 13:50:00 UTC 2025","TestUserAuthentication","test_markers","",""
"","1","test_regression_case","tests.pytest","Wed Nov 12 13:50:00 UTC 2025","passed","Wed Nov 12 13:50:00 UTC 2025","","test_markers","",""
"","1570","Navigation from login page to registration page","LMS system","Wed Nov 12 13:49:47 UTC 2025","passed","Wed Nov 12 13:49:48 UTC 2025","Authorisation","Authentication","",""
"","0","test_critical_login","tests.pytest","Wed Nov 12 13:50:00 UTC 2025","passed","Wed Nov 12 13:50:00 UTC 2025","","test_markers","",""
