"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2017","User login with wrong email or password","LMS system","Tue Nov 04 15:32:21 UTC 2025","passed","Tue Nov 04 15:32:23 UTC 2025","Authorisation","Authentication","",""
"","1324","Navigation from login page to registration page","LMS system","Tue Nov 04 15:32:27 UTC 2025","passed","Tue Nov 04 15:32:28 UTC 2025","Authorisation","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Tue Nov 04 15:32:34 UTC 2025","passed","Tue Nov 04 15:32:34 UTC 2025","TestUserInterface","test_markers","",""
"","1970","Registration with correct email, username and password","LMS system","Tue Nov 04 15:32:29 UTC 2025","passed","Tue Nov 04 15:32:31 UTC 2025","Registration","Authentication","",""
"","0","test_logout","tests.pytest","Tue Nov 04 15:32:34 UTC 2025","passed","Tue Nov 04 15:32:34 UTC 2025","TestUserAuthentication","test_markers","",""
"","1499","Check displaying of empty courses list","LMS system","Tue Nov 04 15:32:27 UTC 2025","passed","Tue Nov 04 15:32:28 UTC 2025","Courses","Courses","",""
"","1305","User login with wrong email or password","LMS system","Tue Nov 04 15:32:24 UTC 2025","passed","Tue Nov 04 15:32:25 UTC 2025","Authorisation","Authentication","",""
"","0","test_password_reset","tests.pytest","Tue Nov 04 15:32:34 UTC 2025","passed","Tue Nov 04 15:32:34 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Tue Nov 04 15:32:34 UTC 2025","passed","Tue Nov 04 15:32:34 UTC 2025","","test_markers","",""
"","3003","User login with correct email and password","LMS system","Tue Nov 04 15:32:24 UTC 2025","passed","Tue Nov 04 15:32:27 UTC 2025","Authorisation","Authentication","",""
"","2985","Edit course","LMS system","Tue Nov 04 15:32:32 UTC 2025","passed","Tue Nov 04 15:32:35 UTC 2025","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","Tue Nov 04 15:32:34 UTC 2025","passed","Tue Nov 04 15:32:34 UTC 2025","","test_markers","",""
"","2051","User login with wrong email or password","LMS system","Tue Nov 04 15:32:21 UTC 2025","passed","Tue Nov 04 15:32:23 UTC 2025","Authorisation","Authentication","",""
"","0","test_login","tests.pytest","Tue Nov 04 15:32:35 UTC 2025","passed","Tue Nov 04 15:32:35 UTC 2025","TestUserAuthentication","test_markers","",""
"","1664","Check displaying of dashboard page","LMS system","Tue Nov 04 15:32:33 UTC 2025","passed","Tue Nov 04 15:32:34 UTC 2025","Dashboard","Dashboard","",""
"","2749","Create course","LMS system","Tue Nov 04 15:32:29 UTC 2025","passed","Tue Nov 04 15:32:32 UTC 2025","Courses","Courses","",""
