"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2586","Edit course","LMS system","Thu Nov 13 17:02:27 UTC 2025","passed","Thu Nov 13 17:02:30 UTC 2025","Courses","Courses","",""
"","0","test_login","tests.pytest","Thu Nov 13 17:02:29 UTC 2025","passed","Thu Nov 13 17:02:29 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Thu Nov 13 17:02:29 UTC 2025","passed","Thu Nov 13 17:02:29 UTC 2025","","test_markers","",""
"","0","test_password_reset","tests.pytest","Thu Nov 13 17:02:29 UTC 2025","passed","Thu Nov 13 17:02:29 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_regression_case","tests.pytest","Thu Nov 13 17:02:30 UTC 2025","passed","Thu Nov 13 17:02:30 UTC 2025","","test_markers","",""
"","1834","User login with wrong email or password","LMS system","Thu Nov 13 17:02:17 UTC 2025","passed","Thu Nov 13 17:02:19 UTC 2025","Authorisation","Authentication","",""
"","0","test_logout","tests.pytest","Thu Nov 13 17:02:29 UTC 2025","passed","Thu Nov 13 17:02:29 UTC 2025","TestUserAuthentication","test_markers","",""
"","1281","Navigation from login page to registration page","LMS system","Thu Nov 13 17:02:22 UTC 2025","passed","Thu Nov 13 17:02:24 UTC 2025","Authorisation","Authentication","",""
"","1645","User login with wrong email or password","LMS system","Thu Nov 13 17:02:19 UTC 2025","passed","Thu Nov 13 17:02:21 UTC 2025","Authorisation","Authentication","",""
"","1626","Registration with correct email, username and password","LMS system","Thu Nov 13 17:02:24 UTC 2025","passed","Thu Nov 13 17:02:26 UTC 2025","Registration","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Thu Nov 13 17:02:29 UTC 2025","passed","Thu Nov 13 17:02:29 UTC 2025","TestUserInterface","test_markers","",""
"","2891","User login with correct email and password","LMS system","Thu Nov 13 17:02:19 UTC 2025","passed","Thu Nov 13 17:02:22 UTC 2025","Authorisation","Authentication","",""
"","1790","User login with wrong email or password","LMS system","Thu Nov 13 17:02:17 UTC 2025","passed","Thu Nov 13 17:02:19 UTC 2025","Authorisation","Authentication","",""
"","1288","Check displaying of empty courses list","LMS system","Thu Nov 13 17:02:23 UTC 2025","passed","Thu Nov 13 17:02:24 UTC 2025","Courses","Courses","",""
"","2098","Create course","LMS system","Thu Nov 13 17:02:24 UTC 2025","passed","Thu Nov 13 17:02:27 UTC 2025","Courses","Courses","",""
"","1559","Check displaying of dashboard page","LMS system","Thu Nov 13 17:02:27 UTC 2025","passed","Thu Nov 13 17:02:28 UTC 2025","Dashboard","Dashboard","",""
