"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2018","User login with wrong email or password","LMS system","Thu Nov 13 17:35:31 UTC 2025","passed","Thu Nov 13 17:35:33 UTC 2025","Authorisation","Authentication","",""
"","3164","User login with correct email and password","LMS system","Thu Nov 13 17:35:34 UTC 2025","passed","Thu Nov 13 17:35:37 UTC 2025","Authorisation","Authentication","",""
"","0","test_logout","tests.pytest","Thu Nov 13 17:35:44 UTC 2025","passed","Thu Nov 13 17:35:44 UTC 2025","TestUserAuthentication","test_markers","",""
"","1701","User login with wrong email or password","LMS system","Thu Nov 13 17:35:34 UTC 2025","passed","Thu Nov 13 17:35:35 UTC 2025","Authorisation","Authentication","",""
"","1","test_login","tests.pytest","Thu Nov 13 17:35:44 UTC 2025","passed","Thu Nov 13 17:35:44 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Thu Nov 13 17:35:44 UTC 2025","passed","Thu Nov 13 17:35:44 UTC 2025","","test_markers","",""
"","1414","Navigation from login page to registration page","LMS system","Thu Nov 13 17:35:37 UTC 2025","passed","Thu Nov 13 17:35:39 UTC 2025","Authorisation","Authentication","",""
"","0","test_regression_case","tests.pytest","Thu Nov 13 17:35:45 UTC 2025","passed","Thu Nov 13 17:35:45 UTC 2025","","test_markers","",""
"","2501","Create course","LMS system","Thu Nov 13 17:35:39 UTC 2025","passed","Thu Nov 13 17:35:42 UTC 2025","Courses","Courses","",""
"","1727","Check displaying of dashboard page","LMS system","Thu Nov 13 17:35:42 UTC 2025","passed","Thu Nov 13 17:35:44 UTC 2025","Dashboard","Dashboard","",""
"","1708","Registration with correct email, username and password","LMS system","Thu Nov 13 17:35:39 UTC 2025","passed","Thu Nov 13 17:35:41 UTC 2025","Registration","Authentication","",""
"","2047","User login with wrong email or password","LMS system","Thu Nov 13 17:35:31 UTC 2025","passed","Thu Nov 13 17:35:33 UTC 2025","Authorisation","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Thu Nov 13 17:35:44 UTC 2025","passed","Thu Nov 13 17:35:44 UTC 2025","TestUserInterface","test_markers","",""
"","1457","Check displaying of empty courses list","LMS system","Thu Nov 13 17:35:37 UTC 2025","passed","Thu Nov 13 17:35:39 UTC 2025","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","Thu Nov 13 17:35:44 UTC 2025","passed","Thu Nov 13 17:35:44 UTC 2025","TestUserAuthentication","test_markers","",""
"","2750","Edit course","LMS system","Thu Nov 13 17:35:42 UTC 2025","passed","Thu Nov 13 17:35:45 UTC 2025","Courses","Courses","",""
