"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_forgot_password_link","tests.pytest","Sun Nov 02 16:48:48 GMT 2025","passed","Sun Nov 02 16:48:48 GMT 2025","TestUserInterface","test_markers","",""
"","1724","User login with wrong email or password","LMS system","Sun Nov 02 16:48:37 GMT 2025","passed","Sun Nov 02 16:48:39 GMT 2025","Authorisation","Authentication","",""
"","1738","User login with wrong email or password","LMS system","Sun Nov 02 16:48:37 GMT 2025","passed","Sun Nov 02 16:48:39 GMT 2025","Authorisation","Authentication","",""
"","1534","User login with wrong email or password","LMS system","Sun Nov 02 16:48:39 GMT 2025","passed","Sun Nov 02 16:48:41 GMT 2025","Authorisation","Authentication","",""
"","1391","Check displaying of dashboard page","LMS system","Sun Nov 02 16:48:49 GMT 2025","passed","Sun Nov 02 16:48:50 GMT 2025","Dashboard","Dashboard","",""
"","0","test_password_reset","tests.pytest","Sun Nov 02 16:48:48 GMT 2025","passed","Sun Nov 02 16:48:48 GMT 2025","TestUserAuthentication","test_markers","",""
"","2030","Create course","LMS system","Sun Nov 02 16:48:45 GMT 2025","passed","Sun Nov 02 16:48:47 GMT 2025","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","Sun Nov 02 16:48:48 GMT 2025","passed","Sun Nov 02 16:48:48 GMT 2025","","test_markers","",""
"","0","test_logout","tests.pytest","Sun Nov 02 16:48:48 GMT 2025","passed","Sun Nov 02 16:48:48 GMT 2025","TestUserAuthentication","test_markers","",""
"","2664","Edit course","LMS system","Sun Nov 02 16:48:46 GMT 2025","passed","Sun Nov 02 16:48:48 GMT 2025","Courses","Courses","",""
"","2913","User login with correct email and password","LMS system","Sun Nov 02 16:48:39 GMT 2025","passed","Sun Nov 02 16:48:42 GMT 2025","Authorisation","Authentication","",""
"","1","test_critical_login","tests.pytest","Sun Nov 02 16:48:48 GMT 2025","passed","Sun Nov 02 16:48:48 GMT 2025","","test_markers","",""
"","1468","Navigation from login page to registration page","LMS system","Sun Nov 02 16:48:41 GMT 2025","passed","Sun Nov 02 16:48:42 GMT 2025","Authorisation","Authentication","",""
"","1463","Check displaying of empty courses list","LMS system","Sun Nov 02 16:48:44 GMT 2025","passed","Sun Nov 02 16:48:45 GMT 2025","Courses","Courses","",""
"","1636","Registration with correct email, username and password","LMS system","Sun Nov 02 16:48:43 GMT 2025","passed","Sun Nov 02 16:48:44 GMT 2025","Registration","Authentication","",""
"","0","test_login","tests.pytest","Sun Nov 02 16:48:48 GMT 2025","passed","Sun Nov 02 16:48:48 GMT 2025","TestUserAuthentication","test_markers","",""
