"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1599","User login with wrong email or password","LMS system","Sun Nov 23 11:22:49 UTC 2025","passed","Sun Nov 23 11:22:50 UTC 2025","Authorisation","Authentication","",""
"","1476","Navigation from login page to registration page","LMS system","Sun Nov 23 11:22:52 UTC 2025","passed","Sun Nov 23 11:22:54 UTC 2025","Authorisation","Authentication","",""
"","3668","Edit course","LMS system","Sun Nov 23 11:22:58 UTC 2025","passed","Sun Nov 23 11:23:01 UTC 2025","Courses","Courses","",""
"","1626","Check displaying of dashboard page","LMS system","Sun Nov 23 11:23:01 UTC 2025","passed","Sun Nov 23 11:23:03 UTC 2025","Dashboard","Dashboard","",""
"","1854","Registration with correct email, username and password","LMS system","Sun Nov 23 11:22:54 UTC 2025","passed","Sun Nov 23 11:22:56 UTC 2025","Registration","Authentication","",""
"","2896","Create course","LMS system","Sun Nov 23 11:22:58 UTC 2025","passed","Sun Nov 23 11:23:01 UTC 2025","Courses","Courses","",""
"","2903","User login with correct email and password","LMS system","Sun Nov 23 11:22:51 UTC 2025","passed","Sun Nov 23 11:22:54 UTC 2025","Authorisation","Authentication","",""
"","1527","User login with wrong email or password","LMS system","Sun Nov 23 11:22:50 UTC 2025","passed","Sun Nov 23 11:22:52 UTC 2025","Authorisation","Authentication","",""
"","1449","Check displaying of empty courses list","LMS system","Sun Nov 23 11:22:56 UTC 2025","passed","Sun Nov 23 11:22:57 UTC 2025","Courses","Courses","",""
"","1768","User login with wrong email or password","LMS system","Sun Nov 23 11:22:49 UTC 2025","passed","Sun Nov 23 11:22:50 UTC 2025","Authorisation","Authentication","",""
