"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1969","User login with wrong email or password","LMS system","Sun Nov 09 11:06:00 UTC 2025","passed","Sun Nov 09 11:06:02 UTC 2025","Authorisation","Authentication","",""
"","1","test_password_reset","tests.pytest","Sun Nov 09 11:06:12 UTC 2025","passed","Sun Nov 09 11:06:12 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","Sun Nov 09 11:06:12 UTC 2025","passed","Sun Nov 09 11:06:12 UTC 2025","TestUserInterface","test_markers","",""
"","1829","User login with wrong email or password","LMS system","Sun Nov 09 11:06:00 UTC 2025","passed","Sun Nov 09 11:06:02 UTC 2025","Authorisation","Authentication","",""
"","1425","Navigation from login page to registration page","LMS system","Sun Nov 09 11:06:06 UTC 2025","passed","Sun Nov 09 11:06:07 UTC 2025","Authorisation","Authentication","",""
"","1674","Check displaying of dashboard page","LMS system","Sun Nov 09 11:06:10 UTC 2025","passed","Sun Nov 09 11:06:12 UTC 2025","Dashboard","Dashboard","",""
"","2987","User login with correct email and password","LMS system","Sun Nov 09 11:06:02 UTC 2025","passed","Sun Nov 09 11:06:05 UTC 2025","Authorisation","Authentication","",""
"","0","test_critical_login","tests.pytest","Sun Nov 09 11:06:12 UTC 2025","passed","Sun Nov 09 11:06:12 UTC 2025","","test_markers","",""
"","2304","Create course","LMS system","Sun Nov 09 11:06:08 UTC 2025","passed","Sun Nov 09 11:06:10 UTC 2025","Courses","Courses","",""
"","0","test_logout","tests.pytest","Sun Nov 09 11:06:12 UTC 2025","passed","Sun Nov 09 11:06:12 UTC 2025","TestUserAuthentication","test_markers","",""
"","1880","Registration with correct email, username and password","LMS system","Sun Nov 09 11:06:07 UTC 2025","passed","Sun Nov 09 11:06:09 UTC 2025","Registration","Authentication","",""
"","2634","Edit course","LMS system","Sun Nov 09 11:06:11 UTC 2025","passed","Sun Nov 09 11:06:14 UTC 2025","Courses","Courses","",""
"","1686","User login with wrong email or password","LMS system","Sun Nov 09 11:06:02 UTC 2025","passed","Sun Nov 09 11:06:04 UTC 2025","Authorisation","Authentication","",""
"","0","test_regression_case","tests.pytest","Sun Nov 09 11:06:14 UTC 2025","passed","Sun Nov 09 11:06:14 UTC 2025","","test_markers","",""
"","1360","Check displaying of empty courses list","LMS system","Sun Nov 09 11:06:06 UTC 2025","passed","Sun Nov 09 11:06:07 UTC 2025","Courses","Courses","",""
"","0","test_login","tests.pytest","Sun Nov 09 11:06:12 UTC 2025","passed","Sun Nov 09 11:06:12 UTC 2025","TestUserAuthentication","test_markers","",""
