"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_critical_login","tests.pytest","Mon Nov 03 15:04:16 GMT 2025","passed","Mon Nov 03 15:04:16 GMT 2025","","test_markers","",""
"","1","test_login","tests.pytest","Mon Nov 03 15:04:16 GMT 2025","passed","Mon Nov 03 15:04:16 GMT 2025","TestUserAuthentication","test_markers","",""
"","1740","Registration with correct email, username and password","LMS system","Mon Nov 03 15:04:10 GMT 2025","passed","Mon Nov 03 15:04:12 GMT 2025","Registration","Authentication","",""
"","1646","User login with wrong email or password","LMS system","Mon Nov 03 15:04:06 GMT 2025","passed","Mon Nov 03 15:04:08 GMT 2025","Authorisation","Authentication","",""
"","1","test_regression_case","tests.pytest","Mon Nov 03 15:04:16 GMT 2025","passed","Mon Nov 03 15:04:16 GMT 2025","","test_markers","",""
"","1793","User login with wrong email or password","LMS system","Mon Nov 03 15:04:04 GMT 2025","passed","Mon Nov 03 15:04:06 GMT 2025","Authorisation","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Mon Nov 03 15:04:16 GMT 2025","passed","Mon Nov 03 15:04:16 GMT 2025","TestUserInterface","test_markers","",""
"","1910","User login with wrong email or password","LMS system","Mon Nov 03 15:04:04 GMT 2025","passed","Mon Nov 03 15:04:06 GMT 2025","Authorisation","Authentication","",""
"","1","test_password_reset","tests.pytest","Mon Nov 03 15:04:16 GMT 2025","passed","Mon Nov 03 15:04:16 GMT 2025","TestUserAuthentication","test_markers","",""
"","3021","User login with correct email and password","LMS system","Mon Nov 03 15:04:07 GMT 2025","passed","Mon Nov 03 15:04:10 GMT 2025","Authorisation","Authentication","",""
"","1423","Check displaying of dashboard page","LMS system","Mon Nov 03 15:04:17 GMT 2025","passed","Mon Nov 03 15:04:18 GMT 2025","Dashboard","Dashboard","",""
"","1541","Navigation from login page to registration page","LMS system","Mon Nov 03 15:04:08 GMT 2025","passed","Mon Nov 03 15:04:10 GMT 2025","Authorisation","Authentication","",""
"","2193","Create course","LMS system","Mon Nov 03 15:04:13 GMT 2025","passed","Mon Nov 03 15:04:15 GMT 2025","Courses","Courses","",""
"","2874","Edit course","LMS system","Mon Nov 03 15:04:14 GMT 2025","passed","Mon Nov 03 15:04:17 GMT 2025","Courses","Courses","",""
"","0","test_logout","tests.pytest","Mon Nov 03 15:04:16 GMT 2025","passed","Mon Nov 03 15:04:16 GMT 2025","TestUserAuthentication","test_markers","",""
"","1482","Check displaying of empty courses list","LMS system","Mon Nov 03 15:04:11 GMT 2025","passed","Mon Nov 03 15:04:13 GMT 2025","Courses","Courses","",""
