"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1894","User login with wrong email or password","LMS system","Wed Nov 12 17:28:13 UTC 2025","passed","Wed Nov 12 17:28:14 UTC 2025","Authorisation","Authentication","",""
"","0","test_regression_case","tests.pytest","Wed Nov 12 17:28:24 UTC 2025","passed","Wed Nov 12 17:28:24 UTC 2025","","test_markers","",""
"","2517","Create course","LMS system","Wed Nov 12 17:28:21 UTC 2025","passed","Wed Nov 12 17:28:24 UTC 2025","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","Wed Nov 12 17:28:24 UTC 2025","passed","Wed Nov 12 17:28:24 UTC 2025","TestUserInterface","test_markers","",""
"","2935","User login with correct email and password","LMS system","Wed Nov 12 17:28:15 UTC 2025","passed","Wed Nov 12 17:28:18 UTC 2025","Authorisation","Authentication","",""
"","0","test_logout","tests.pytest","Wed Nov 12 17:28:24 UTC 2025","passed","Wed Nov 12 17:28:24 UTC 2025","TestUserAuthentication","test_markers","",""
"","1473","Check displaying of empty courses list","LMS system","Wed Nov 12 17:28:20 UTC 2025","passed","Wed Nov 12 17:28:21 UTC 2025","Courses","Courses","",""
"","2021","User login with wrong email or password","LMS system","Wed Nov 12 17:28:13 UTC 2025","passed","Wed Nov 12 17:28:15 UTC 2025","Authorisation","Authentication","",""
"","1","test_critical_login","tests.pytest","Wed Nov 12 17:28:24 UTC 2025","passed","Wed Nov 12 17:28:24 UTC 2025","","test_markers","",""
"","0","test_password_reset","tests.pytest","Wed Nov 12 17:28:24 UTC 2025","passed","Wed Nov 12 17:28:24 UTC 2025","TestUserAuthentication","test_markers","",""
"","1503","User login with wrong email or password","LMS system","Wed Nov 12 17:28:15 UTC 2025","passed","Wed Nov 12 17:28:16 UTC 2025","Authorisation","Authentication","",""
"","1564","Check displaying of dashboard page","LMS system","Wed Nov 12 17:28:26 UTC 2025","passed","Wed Nov 12 17:28:27 UTC 2025","Dashboard","Dashboard","",""
"","1538","Navigation from login page to registration page","LMS system","Wed Nov 12 17:28:17 UTC 2025","passed","Wed Nov 12 17:28:18 UTC 2025","Authorisation","Authentication","",""
"","1","test_login","tests.pytest","Wed Nov 12 17:28:24 UTC 2025","passed","Wed Nov 12 17:28:24 UTC 2025","TestUserAuthentication","test_markers","",""
"","1780","Registration with correct email, username and password","LMS system","Wed Nov 12 17:28:18 UTC 2025","passed","Wed Nov 12 17:28:20 UTC 2025","Registration","Authentication","",""
"","3226","Edit course","LMS system","Wed Nov 12 17:28:22 UTC 2025","passed","Wed Nov 12 17:28:25 UTC 2025","Courses","Courses","",""
