"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2881","User login with correct email and password","LMS system","Wed Nov 12 17:48:46 UTC 2025","passed","Wed Nov 12 17:48:49 UTC 2025","Authorisation","Authentication","",""
"","2523","Edit course","LMS system","Wed Nov 12 17:48:54 UTC 2025","passed","Wed Nov 12 17:48:57 UTC 2025","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","Wed Nov 12 17:48:57 UTC 2025","passed","Wed Nov 12 17:48:57 UTC 2025","","test_markers","",""
"","1547","Check displaying of dashboard page","LMS system","Wed Nov 12 17:48:54 UTC 2025","passed","Wed Nov 12 17:48:55 UTC 2025","Dashboard","Dashboard","",""
"","1679","User login with wrong email or password","LMS system","Wed Nov 12 17:48:44 UTC 2025","passed","Wed Nov 12 17:48:46 UTC 2025","Authorisation","Authentication","",""
"","0","test_password_reset","tests.pytest","Wed Nov 12 17:48:55 UTC 2025","passed","Wed Nov 12 17:48:55 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Wed Nov 12 17:48:55 UTC 2025","passed","Wed Nov 12 17:48:55 UTC 2025","","test_markers","",""
"","1343","Check displaying of empty courses list","LMS system","Wed Nov 12 17:48:50 UTC 2025","passed","Wed Nov 12 17:48:51 UTC 2025","Courses","Courses","",""
"","1591","Registration with correct email, username and password","LMS system","Wed Nov 12 17:48:51 UTC 2025","passed","Wed Nov 12 17:48:52 UTC 2025","Registration","Authentication","",""
"","1268","Navigation from login page to registration page","LMS system","Wed Nov 12 17:48:49 UTC 2025","passed","Wed Nov 12 17:48:51 UTC 2025","Authorisation","Authentication","",""
"","1734","User login with wrong email or password","LMS system","Wed Nov 12 17:48:44 UTC 2025","passed","Wed Nov 12 17:48:46 UTC 2025","Authorisation","Authentication","",""
"","1","test_logout","tests.pytest","Wed Nov 12 17:48:55 UTC 2025","passed","Wed Nov 12 17:48:55 UTC 2025","TestUserAuthentication","test_markers","",""
"","1","test_login","tests.pytest","Wed Nov 12 17:48:55 UTC 2025","passed","Wed Nov 12 17:48:55 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","Wed Nov 12 17:48:55 UTC 2025","passed","Wed Nov 12 17:48:55 UTC 2025","TestUserInterface","test_markers","",""
"","1589","User login with wrong email or password","LMS system","Wed Nov 12 17:48:46 UTC 2025","passed","Wed Nov 12 17:48:48 UTC 2025","Authorisation","Authentication","",""
"","2085","Create course","LMS system","Wed Nov 12 17:48:51 UTC 2025","passed","Wed Nov 12 17:48:53 UTC 2025","Courses","Courses","",""
