"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_forgot_password_link","tests.pytest","Wed Nov 12 13:40:36 UTC 2025","passed","Wed Nov 12 13:40:36 UTC 2025","TestUserInterface","test_markers","",""
"","1261","Navigation from login page to registration page","LMS system","Wed Nov 12 13:40:30 UTC 2025","passed","Wed Nov 12 13:40:31 UTC 2025","Authorisation","Authentication","",""
"","2165","User login with wrong email or password","LMS system","Wed Nov 12 13:40:24 UTC 2025","passed","Wed Nov 12 13:40:26 UTC 2025","Authorisation","Authentication","",""
"","1677","Registration with correct email, username and password","LMS system","Wed Nov 12 13:40:31 UTC 2025","passed","Wed Nov 12 13:40:33 UTC 2025","Registration","Authentication","",""
"","2269","Create course","LMS system","Wed Nov 12 13:40:32 UTC 2025","passed","Wed Nov 12 13:40:34 UTC 2025","Courses","Courses","",""
"","2149","User login with wrong email or password","LMS system","Wed Nov 12 13:40:24 UTC 2025","passed","Wed Nov 12 13:40:26 UTC 2025","Authorisation","Authentication","",""
"","1","test_password_reset","tests.pytest","Wed Nov 12 13:40:36 UTC 2025","passed","Wed Nov 12 13:40:36 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Wed Nov 12 13:40:36 UTC 2025","passed","Wed Nov 12 13:40:36 UTC 2025","","test_markers","",""
"","1591","Check displaying of dashboard page","LMS system","Wed Nov 12 13:40:34 UTC 2025","passed","Wed Nov 12 13:40:36 UTC 2025","Dashboard","Dashboard","",""
"","2596","Edit course","LMS system","Wed Nov 12 13:40:35 UTC 2025","passed","Wed Nov 12 13:40:37 UTC 2025","Courses","Courses","",""
"","1637","User login with wrong email or password","LMS system","Wed Nov 12 13:40:27 UTC 2025","passed","Wed Nov 12 13:40:28 UTC 2025","Authorisation","Authentication","",""
"","0","test_logout","tests.pytest","Wed Nov 12 13:40:36 UTC 2025","passed","Wed Nov 12 13:40:36 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_regression_case","tests.pytest","Wed Nov 12 13:40:38 UTC 2025","passed","Wed Nov 12 13:40:38 UTC 2025","","test_markers","",""
"","1","test_login","tests.pytest","Wed Nov 12 13:40:36 UTC 2025","passed","Wed Nov 12 13:40:36 UTC 2025","TestUserAuthentication","test_markers","",""
"","3055","User login with correct email and password","LMS system","Wed Nov 12 13:40:27 UTC 2025","passed","Wed Nov 12 13:40:30 UTC 2025","Authorisation","Authentication","",""
"","1414","Check displaying of empty courses list","LMS system","Wed Nov 12 13:40:30 UTC 2025","passed","Wed Nov 12 13:40:32 UTC 2025","Courses","Courses","",""
