"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2162","Registration with correct email, username and password","LMS system","Sun Nov 23 12:09:00 UTC 2025","passed","Sun Nov 23 12:09:02 UTC 2025","Registration","Authentication","",""
"","2831","Create course","LMS system","Sun Nov 23 12:09:05 UTC 2025","passed","Sun Nov 23 12:09:08 UTC 2025","Courses","Courses","",""
"","1421","Check displaying of empty courses list","LMS system","Sun Nov 23 12:09:04 UTC 2025","passed","Sun Nov 23 12:09:05 UTC 2025","Courses","Courses","",""
"","3268","Edit course","LMS system","Sun Nov 23 12:09:05 UTC 2025","passed","Sun Nov 23 12:09:09 UTC 2025","Courses","Courses","",""
"","1999","User login with wrong email or password","LMS system","Sun Nov 23 12:08:56 UTC 2025","passed","Sun Nov 23 12:08:58 UTC 2025","Authorisation","Authentication","",""
"","1430","User login with wrong email or password","LMS system","Sun Nov 23 12:08:58 UTC 2025","passed","Sun Nov 23 12:08:59 UTC 2025","Authorisation","Authentication","",""
"","3355","User login with correct email and password","LMS system","Sun Nov 23 12:08:58 UTC 2025","passed","Sun Nov 23 12:09:01 UTC 2025","Authorisation","Authentication","",""
"","2018","User login with wrong email or password","LMS system","Sun Nov 23 12:08:56 UTC 2025","passed","Sun Nov 23 12:08:58 UTC 2025","Authorisation","Authentication","",""
"","1714","Navigation from login page to registration page","LMS system","Sun Nov 23 12:09:02 UTC 2025","passed","Sun Nov 23 12:09:04 UTC 2025","Authorisation","Authentication","",""
"","1535","Check displaying of dashboard page","LMS system","Sun Nov 23 12:09:09 UTC 2025","passed","Sun Nov 23 12:09:10 UTC 2025","Dashboard","Dashboard","",""
