"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_password_reset","tests.pytest","Sun Nov 09 10:48:00 UTC 2025","passed","Sun Nov 09 10:48:00 UTC 2025","TestUserAuthentication","test_markers","",""
"","1670","Check displaying of dashboard page","LMS system","Sun Nov 09 10:47:59 UTC 2025","passed","Sun Nov 09 10:48:01 UTC 2025","Dashboard","Dashboard","",""
"","0","test_forgot_password_link","tests.pytest","Sun Nov 09 10:48:00 UTC 2025","passed","Sun Nov 09 10:48:00 UTC 2025","TestUserInterface","test_markers","",""
"","2677","Create course","LMS system","Sun Nov 09 10:47:56 UTC 2025","passed","Sun Nov 09 10:47:59 UTC 2025","Courses","Courses","",""
"","2238","User login with wrong email or password","LMS system","Sun Nov 09 10:47:46 UTC 2025","passed","Sun Nov 09 10:47:48 UTC 2025","Authorisation","Authentication","",""
"","1491","User login with wrong email or password","LMS system","Sun Nov 09 10:47:48 UTC 2025","passed","Sun Nov 09 10:47:50 UTC 2025","Authorisation","Authentication","",""
"","0","test_logout","tests.pytest","Sun Nov 09 10:48:00 UTC 2025","passed","Sun Nov 09 10:48:00 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_regression_case","tests.pytest","Sun Nov 09 10:48:00 UTC 2025","passed","Sun Nov 09 10:48:00 UTC 2025","","test_markers","",""
"","1872","Registration with correct email, username and password","LMS system","Sun Nov 09 10:47:52 UTC 2025","passed","Sun Nov 09 10:47:54 UTC 2025","Registration","Authentication","",""
"","1603","Navigation from login page to registration page","LMS system","Sun Nov 09 10:47:50 UTC 2025","passed","Sun Nov 09 10:47:52 UTC 2025","Authorisation","Authentication","",""
"","1525","Check displaying of empty courses list","LMS system","Sun Nov 09 10:47:54 UTC 2025","passed","Sun Nov 09 10:47:55 UTC 2025","Courses","Courses","",""
"","0","test_login","tests.pytest","Sun Nov 09 10:48:01 UTC 2025","passed","Sun Nov 09 10:48:01 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Sun Nov 09 10:48:00 UTC 2025","passed","Sun Nov 09 10:48:00 UTC 2025","","test_markers","",""
"","3345","User login with correct email and password","LMS system","Sun Nov 09 10:47:48 UTC 2025","passed","Sun Nov 09 10:47:52 UTC 2025","Authorisation","Authentication","",""
"","2142","User login with wrong email or password","LMS system","Sun Nov 09 10:47:46 UTC 2025","passed","Sun Nov 09 10:47:48 UTC 2025","Authorisation","Authentication","",""
"","3572","Edit course","LMS system","Sun Nov 09 10:47:56 UTC 2025","passed","Sun Nov 09 10:47:59 UTC 2025","Courses","Courses","",""
