"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_critical_login","tests.pytest","Wed Nov 12 13:26:56 UTC 2025","passed","Wed Nov 12 13:26:56 UTC 2025","","test_markers","",""
"","1975","User login with wrong email or password","LMS system","Wed Nov 12 13:26:44 UTC 2025","passed","Wed Nov 12 13:26:46 UTC 2025","Authorisation","Authentication","",""
"","0","test_regression_case","tests.pytest","Wed Nov 12 13:26:58 UTC 2025","passed","Wed Nov 12 13:26:58 UTC 2025","","test_markers","",""
"","0","test_password_reset","tests.pytest","Wed Nov 12 13:26:56 UTC 2025","passed","Wed Nov 12 13:26:56 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_login","tests.pytest","Wed Nov 12 13:26:56 UTC 2025","passed","Wed Nov 12 13:26:56 UTC 2025","TestUserAuthentication","test_markers","",""
"","1743","User login with wrong email or password","LMS system","Wed Nov 12 13:26:47 UTC 2025","passed","Wed Nov 12 13:26:48 UTC 2025","Authorisation","Authentication","",""
"","0","test_logout","tests.pytest","Wed Nov 12 13:26:56 UTC 2025","passed","Wed Nov 12 13:26:56 UTC 2025","TestUserAuthentication","test_markers","",""
"","1629","Check displaying of dashboard page","LMS system","Wed Nov 12 13:26:55 UTC 2025","passed","Wed Nov 12 13:26:56 UTC 2025","Dashboard","Dashboard","",""
"","2356","Create course","LMS system","Wed Nov 12 13:26:52 UTC 2025","passed","Wed Nov 12 13:26:54 UTC 2025","Courses","Courses","",""
"","2014","User login with wrong email or password","LMS system","Wed Nov 12 13:26:44 UTC 2025","passed","Wed Nov 12 13:26:46 UTC 2025","Authorisation","Authentication","",""
"","1372","Check displaying of empty courses list","LMS system","Wed Nov 12 13:26:50 UTC 2025","passed","Wed Nov 12 13:26:52 UTC 2025","Courses","Courses","",""
"","1762","Registration with correct email, username and password","LMS system","Wed Nov 12 13:26:52 UTC 2025","passed","Wed Nov 12 13:26:53 UTC 2025","Registration","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Wed Nov 12 13:26:56 UTC 2025","passed","Wed Nov 12 13:26:56 UTC 2025","TestUserInterface","test_markers","",""
"","3090","User login with correct email and password","LMS system","Wed Nov 12 13:26:47 UTC 2025","passed","Wed Nov 12 13:26:50 UTC 2025","Authorisation","Authentication","",""
"","1400","Navigation from login page to registration page","LMS system","Wed Nov 12 13:26:50 UTC 2025","passed","Wed Nov 12 13:26:51 UTC 2025","Authorisation","Authentication","",""
"","2590","Edit course","LMS system","Wed Nov 12 13:26:55 UTC 2025","passed","Wed Nov 12 13:26:58 UTC 2025","Courses","Courses","",""
